contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
NDXP251117P23850000,2025-11-14 19:47:16+00:00,23850.0,5.41,3.6,4.8,-49.39,-90.12774,9.0,0.0,0.31911386459350577,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23860000,2025-11-14 20:06:51+00:00,23860.0,5.15,3.7,4.9,-20.45,-79.88281,3.0,1.0,0.3177558459472656,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23890000,2025-11-14 15:39:14+00:00,23890.0,12.39,4.0,5.1,-14.56,-54.02597,4.0,3.0,0.3125373922729492,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23900000,2025-11-14 19:56:37+00:00,23900.0,6.03,4.1,5.2,-21.42,-78.03278,28.0,4.0,0.31108782180786126,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23910000,2025-11-14 20:06:51+00:00,23910.0,5.65,4.2,5.4,-5.6200004,-49.866905,2.0,0.0,0.31055376953124997,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23920000,2025-11-12 19:26:57+00:00,23920.0,5.3,3.8,5.6,0.0,0.0,,4.0,0.3099586827087402,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23930000,2025-11-14 17:53:38+00:00,23930.0,7.05,4.0,5.6,0.61000013,9.472052,2.0,0.0,0.30750204223632804,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23940000,2025-11-14 15:17:58+00:00,23940.0,23.7,4.1,5.7,0.0,0.0,1.0,0.0,0.30594566131591794,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23950000,2025-11-14 20:37:12+00:00,23950.0,7.34,4.2,6.0,-23.78,-76.41388,11.0,0.0,0.30609824768066407,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23960000,2025-11-14 20:16:24+00:00,23960.0,7.47,4.3,6.0,-5.2000003,-41.041832,5.0,0.0,0.3036263485717773,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23980000,2025-11-14 18:48:57+00:00,23980.0,14.9,4.6,6.3,-12.75,-46.112118,3.0,1.0,0.3011544494628906,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23990000,2025-11-14 18:48:57+00:00,23990.0,15.1,4.7,6.4,0.0,0.0,1.0,0.0,0.2994759994506836,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P24000000,2025-11-14 21:13:55+00:00,24000.0,7.0,4.9,6.6,-18.35,-72.38659,925.0,506.0,0.2985452226257324,False,REGULAR,USD,2025-11-17,^NDX,puts
