contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
NDXP251211C26000000,2025-11-14 21:04:06+00:00,26000.0,206.55,205.7,233.0,-29.449997,-12.478812,2.0,2.0,0.22233882374763483,False,REGULAR,USD,2025-12-11,^NDX,calls
NDXP251211C26100000,2025-11-12 15:36:03+00:00,26100.0,323.4,176.0,194.5,0.0,0.0,,6.0,0.21520731852531433,False,REGULAR,USD,2025-12-11,^NDX,calls
NDXP251211C26400000,2025-11-12 18:15:17+00:00,26400.0,235.4,106.0,123.7,0.0,0.0,,6.0,0.20754557568550108,False,REGULAR,USD,2025-12-11,^NDX,calls
NDXP251212C24500000,2025-11-06 15:07:21+00:00,24500.0,1323.89,934.0,1131.3,0.0,0.0,,1.0,0.317726282339096,True,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C24600000,2025-11-06 15:07:21+00:00,24600.0,1249.46,864.0,1061.2,0.0,0.0,,1.0,0.31268234931945804,True,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C24750000,2025-11-14 15:01:18+00:00,24750.0,770.85,801.9,919.4,61.76001,8.709756,2.0,0.0,0.29028839296340936,True,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C24900000,2025-11-14 18:02:41+00:00,24900.0,791.5,726.0,801.6,101.21002,14.661958,2.0,0.0,0.27563342629432674,True,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25000000,2025-11-14 15:47:39+00:00,25000.0,732.2,687.9,722.8,45.160034,6.57313,20.0,1.0,0.2649175719976425,True,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25025000,2025-11-14 15:26:20+00:00,25025.0,622.8,666.3,713.4,-49.48004,-7.3600345,1.0,1.0,0.2659198736810684,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25075000,2025-11-13 18:02:04+00:00,25075.0,675.44,636.8,686.3,0.0,0.0,,1.0,0.26471205723762514,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25100000,2025-11-14 17:09:27+00:00,25100.0,707.01,622.3,671.5,-149.52002,-17.456482,1.0,2.0,0.2635714741611481,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25125000,2025-11-14 15:24:38+00:00,25125.0,567.8,607.8,656.8,0.0,0.0,1.0,0.0,0.26241610928058634,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25150000,2025-11-11 16:27:37+00:00,25150.0,824.68,593.6,642.4,0.0,0.0,,1.0,0.2613193947839737,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25175000,2025-11-14 15:28:09+00:00,25175.0,575.0,585.9,619.6,0.0,0.0,2.0,0.0,0.25706938769340515,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25200000,2025-11-14 17:09:27+00:00,25200.0,647.0,565.6,613.8,-566.69995,-46.69193,1.0,1.0,0.25904156645774845,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25225000,2025-11-14 16:54:16+00:00,25225.0,628.3,551.8,599.8,0.0,0.0,1.0,0.0,0.25793340798377995,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25250000,2025-11-14 20:15:18+00:00,25250.0,587.92,544.6,577.7,25.98999,4.6251297,2.0,2.0,0.2537697075557709,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25275000,2025-11-13 16:10:11+00:00,25275.0,590.9,524.8,572.3,0.0,0.0,,12.0,0.25573807166099555,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25300000,2025-11-14 16:18:11+00:00,25300.0,558.2,511.5,556.0,0.0,0.0,11.0,0.0,0.25360949187278753,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25350000,2025-11-13 20:35:46+00:00,25350.0,532.58,485.5,532.2,0.0,0.0,,1.0,0.2524546038246155,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25400000,2025-11-14 16:00:17+00:00,25400.0,509.55,466.5,498.4,-312.95,-38.048634,33.0,2.0,0.24732293364524838,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25425000,2025-11-14 16:23:25+00:00,25425.0,515.4,454.1,485.8,68.58002,15.348466,4.0,0.0,0.24627580971717833,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25450000,2025-11-14 20:15:18+00:00,25450.0,482.74,435.8,478.6,-7.8099976,-1.59209,2.0,0.0,0.24721040120124818,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25500000,2025-11-13 17:46:31+00:00,25500.0,451.1,411.7,456.7,0.0,0.0,,4.0,0.2460831694316864,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25550000,2025-11-11 17:36:05+00:00,25550.0,597.3,389.2,426.9,0.0,0.0,,1.0,0.2416886821269989,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25600000,2025-11-14 20:23:11+00:00,25600.0,384.2,372.3,402.5,-8.599976,-2.1894033,50.0,135.0,0.23909232976436612,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25650000,2025-11-14 17:06:59+00:00,25650.0,413.37,344.7,382.7,0.070007324,0.016938623,4.0,0.0,0.23803137769699093,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25700000,2025-11-13 20:02:32+00:00,25700.0,353.33,323.5,361.6,0.0,0.0,,2.0,0.23620987796783444,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25725000,2025-11-04 15:47:31+00:00,25725.0,725.22,313.4,351.4,0.0,0.0,,1.0,0.2353410893535614,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25750000,2025-11-04 15:47:31+00:00,25750.0,710.42,303.4,341.4,0.0,0.0,,1.0,0.2344866057109833,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25800000,2025-11-14 16:18:11+00:00,25800.0,328.3,284.6,321.9,2.0999756,0.6437693,11.0,7.0,0.23278097625255587,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25825000,2025-11-13 21:03:38+00:00,25825.0,316.7,274.7,312.4,0.0,0.0,14.0,7.0,0.2319298304367065,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25875000,2025-11-11 15:22:59+00:00,25875.0,424.33,256.6,294.1,0.0,0.0,,1.0,0.2303143222999573,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25900000,2025-10-30 14:34:08+00:00,25900.0,768.1,247.9,285.2,0.0,0.0,,1.0,0.22950847556114196,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C25975000,2025-11-14 20:25:37+00:00,25975.0,244.22,236.9,246.0,11.389999,4.8919806,6.0,0.0,0.22117726004600524,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26000000,2025-11-14 20:25:37+00:00,26000.0,236.17,228.8,237.3,-156.98,-39.92878,2.0,6.0,0.2201053408336639,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26025000,2025-11-14 15:04:42+00:00,26025.0,205.55,207.1,243.6,0.0,0.0,1.0,0.0,0.2256890481185913,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26050000,2025-11-07 14:37:13+00:00,26050.0,247.67,204.9,236.3,0.0,0.0,4.0,4.0,0.22516930081367492,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26100000,2025-11-14 20:31:13+00:00,26100.0,205.1,195.8,210.4,-26.899994,-11.594825,2.0,5.0,0.2186796119880676,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26175000,2025-11-06 20:12:13+00:00,26175.0,310.95,174.7,189.4,0.0,0.0,1.0,3.0,0.21649858063697813,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26200000,2025-11-14 18:27:58+00:00,26200.0,189.46,168.0,183.1,-85.93001,-31.203022,2.0,4.0,0.21596166736602784,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26225000,2025-11-14 18:27:58+00:00,26225.0,182.63,161.6,176.6,-21.470001,-10.519353,2.0,19.0,0.21525309443473814,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26250000,2025-11-07 16:06:16+00:00,26250.0,166.24,155.3,170.1,0.0,0.0,2.0,1.0,0.21446632099151614,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26275000,2025-11-07 16:06:16+00:00,26275.0,160.76,149.2,164.1,0.0,0.0,2.0,2.0,0.21385692919731142,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26300000,2025-11-06 16:49:49+00:00,26300.0,233.1,143.3,158.2,0.0,0.0,82.0,130.0,0.2132246494483948,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26325000,2025-11-04 18:18:35+00:00,26325.0,355.75,137.5,152.5,0.0,0.0,,2.0,0.21262002597808838,False,REGULAR,USD,2025-12-12,^NDX,calls
