contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
NDX260320C27400000,2025-11-10 20:32:04+00:00,27400.0,653.9,452.1,497.1,0.0,0.0,4.0,30,0.22405017519474024,False,REGULAR,USD,2026-03-20,^NDX,calls
NDX260320C27500000,2025-11-14 15:36:24+00:00,27500.0,438.6,430.9,451.7,22.5,5.407354,278.0,654,0.21906584622383118,False,REGULAR,USD,2026-03-20,^NDX,calls
NDX260320C27600000,2025-10-29 18:25:47+00:00,27600.0,822.2,398.7,437.5,0.0,0.0,2.0,72,0.22048632991313932,False,REGULAR,USD,2026-03-20,^NDX,calls
NDX260320C28000000,2025-11-13 20:54:52+00:00,28000.0,327.9,307.5,344.3,0.0,0.0,38.0,129,0.21631356966972348,False,REGULAR,USD,2026-03-20,^NDX,calls
NDX260320C28500000,2025-11-13 15:26:19+00:00,28500.0,290.0,219.9,249.8,0.0,0.0,2.0,110,0.21143700481891628,False,REGULAR,USD,2026-03-20,^NDX,calls
NDX260320C29000000,2025-11-06 17:59:45+00:00,29000.0,214.2,164.0,172.5,0.0,0.0,1.0,3,0.20546563280105587,False,REGULAR,USD,2026-03-20,^NDX,calls
NDX260320C29500000,2025-11-13 19:27:52+00:00,29500.0,126.0,117.0,124.4,0.0,0.0,15.0,200,0.20369420047283174,False,REGULAR,USD,2026-03-20,^NDX,calls
NDX260320C30000000,2025-11-13 18:15:59+00:00,30000.0,81.4,83.3,90.0,-15.699997,-16.168896,5.0,164,0.20291076485633847,False,REGULAR,USD,2026-03-20,^NDX,calls
NDX260320C30500000,2025-10-31 17:23:11+00:00,30500.0,139.0,59.6,65.7,0.0,0.0,16.0,18,0.20305095357894892,False,REGULAR,USD,2026-03-20,^NDX,calls
NDX260320C31000000,2025-11-05 19:30:00+00:00,31000.0,84.0,43.0,48.3,0.0,0.0,12.0,72,0.2037833681297302,False,REGULAR,USD,2026-03-20,^NDX,calls
NDX260320C31500000,2025-11-03 15:32:07+00:00,31500.0,81.55,31.4,36.1,0.0,0.0,3.0,18,0.2052710851860046,False,REGULAR,USD,2026-03-20,^NDX,calls
NDXP260331C14000000,2025-04-07 13:30:41+00:00,14000.0,3986.7,6419.1,7067.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C14400000,2025-04-07 13:30:40+00:00,14400.0,3830.9,6067.6,6715.5,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C14800000,2025-06-25 18:34:17+00:00,14800.0,7964.09,9730.6,10359.5,0.0,0.0,1.0,0,0.5394390386390688,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C15000000,2025-06-25 18:34:17+00:00,15000.0,7779.3,9538.6,10167.8,0.0,0.0,1.0,0,0.5338410263824462,True,REGULAR,USD,2026-03-31,^NDX,calls
